ADgroup,category,Lic_type,PSgroup,RESgroup,Description,Comments,Activity,category1,userclaim,SNOW-title,SNOW-Description
dlg.WW.ADM-Services.P2V.data.KZ,not in use,,,,P2V OMV KZ User,,,,,,
dlg.WW.ADM-Services.P2V.data.LBY,DATA,,data.Libya,,P2V Data Libya,Data access to country Libya,,,,Libya,Access to P2V data from Libya
dlg.WW.ADM-Services.P2V.data.MEX,DATA,,data.Mexico,,P2V Data Mexico,Data access to country Mexico,,,,Mexico (SAPURA),Access to P2V data from Mexico
dlg.WW.ADM-Services.P2V.data.MYS,DATA,,data.Malaysia,,P2V Data Malaysia,Data access to country Malaysia,,,,Malaysia (SAPURA),Access to P2V data from Malaysia
dlg.WW.ADM-Services.P2V.data.NOR,DATA,,data.Norway,,P2V Data Norway,Data access to country Norway,,,,Norway,Access to P2V data from Norway
dlg.WW.ADM-Services.P2V.data.NZL,DATA,,data.NewZealand,,P2V Data New Zealand,Data access to country NewZealand,,,,New Zealand (OMV),Access to P2V data from New Zealand (OMV)
dlg.WW.ADM-Services.P2V.data.NZL.sapura,DATA,,data.Sapura.NewZealand,,P2V Data New Zealand Sapura,Data access to country  Sapura- NewZealand,,,,New Zealand (SAPURA),Access to P2V data from New Zealand (SAPURA)
dlg.WW.ADM-Services.P2V.data.OMVEP,DATA,,data.OMVEP,,P2V Data E&P Valuecenter,Data access to ValueCenters,,,,OMV E&P International,"Access to special area for EP Value Centers, LCB, GAS"
dlg.WW.ADM-Services.P2V.data.ROU,DATA,,data.Romania,,P2V Data Romania,Data access to country Romania,,,,Romania (PETROM),Access to P2V data from Romania
dlg.WW.ADM-Services.P2V.data.RUS,DATA,,data.Russia,,P2V Data Russia,Data access to country Russia,,,,Russia,Access to P2V data from Russia
dlg.WW.ADM-Services.P2V.data.Sapura,not in use,,,,P2V OMV Sapura User,,,,,,
dlg.WW.ADM-Services.P2V.data.TUN,DATA,,data.Tunisia,,P2V Data Tunisia,Data access to country Tunisia,,,,Tunisia,Access to P2V data from Tunisia
dlg.WW.ADM-Services.P2V.data.YEM,DATA,,data.Yemen,,P2V Data Yemen,Data access to country Yemen,,,,Yemen,Access to P2V data from Yemen
dlg.WW.ADM-Services.P2V.developer,SPECIAL,,Developer,,P2V Developer,internal & external developers,,,,,
dlg.WW.ADM-Services.P2V.DF.key,not in use,,,,P2V Dataflow Key User,,,,,,
dlg.WW.ADM-Services.P2V.DF.power,not in use,,,,P2V Dataflow Power User,,,,,,
dlg.WW.ADM-Services.P2V.DF.unlock,SPECIAL,,Dataflow.unlock,,P2V DataFlow Unlock,permission to unlock  objects in DATAFLOW module,,,,,
