Iteration,Timestamp,Path,ShareRelativePath,ClientComputerName,ClientUserName,ContinuouslyAvailable,Locks
136,2023-07-03 13:01:54,\winreg,winreg,10.12.10.93,WW\s.at.p2vmonitoring,FALSE,0
137,2023-07-03 13:01:55,\winreg,winreg,10.12.10.93,WW\s.at.p2vmonitoring,FALSE,0
138,2023-07-03 13:01:56,\winreg,winreg,10.12.10.93,WW\s.at.p2vmonitoring,FALSE,0
139,2023-07-03 13:01:57,\winreg,winreg,10.12.10.93,WW\s.at.p2vmonitoring,FALSE,0
140,2023-07-03 13:01:58,\winreg,winreg,10.12.10.93,WW\s.at.p2vmonitoring,FALSE,0
141,2023-07-03 13:01:59,\winreg,winreg,10.12.10.93,WW\s.at.p2vmonitoring,FALSE,0
142,2023-07-03 13:02:00,\winreg,winreg,10.12.10.93,WW\s.at.p2vmonitoring,FALSE,0
143,2023-07-03 13:02:01,\winreg,winreg,10.12.10.93,WW\s.at.p2vmonitoring,FALSE,0
144,2023-07-03 13:02:02,\winreg,winreg,10.12.10.93,WW\s.at.p2vmonitoring,FALSE,0
145,2023-07-03 13:02:03,\winreg,winreg,10.12.10.93,WW\s.at.p2vmonitoring,FALSE,0
146,2023-07-03 13:02:04,\winreg,winreg,10.12.10.93,WW\s.at.p2vmonitoring,FALSE,0
147,2023-07-03 13:02:05,\winreg,winreg,10.12.10.93,WW\s.at.p2vmonitoring,FALSE,0
148,2023-07-03 13:02:06,\winreg,winreg,10.12.10.93,WW\s.at.p2vmonitoring,FALSE,0
149,2023-07-03 13:02:07,\winreg,winreg,10.12.10.93,WW\s.at.p2vmonitoring,FALSE,0
150,2023-07-03 13:02:08,\winreg,winreg,10.12.10.93,WW\s.at.p2vmonitoring,FALSE,0
151,2023-07-03 13:02:09,\winreg,winreg,10.12.10.93,WW\s.at.p2vmonitoring,FALSE,0
152,2023-07-03 13:02:10,\winreg,winreg,10.12.10.93,WW\s.at.p2vmonitoring,FALSE,0
153,2023-07-03 13:02:11,\winreg,winreg,10.12.10.93,WW\s.at.p2vmonitoring,FALSE,0
154,2023-07-03 13:02:12,\winreg,winreg,10.12.10.93,WW\s.at.p2vmonitoring,FALSE,0
