Id,Name,Description,Comments
225,data.Georgia.Reserves,Data access to country Georgia (Reserves),[DATA] PRMS create-read-update-delete 
401,data.Germany,Data access to country Germany,[DATA] PRMS read-update
419,data.Germany.CAPDAT,Data access for selected PMs for loading PSE RS to CAPDAT,For nominated project managers who will load selected PSE results sets into CAPDAT
423,data.Germany.Economics,Data access to country Germany (economist),[DATA] PRMS create-read-update-delete 
403,data.Germany.Finance,Data access to country Germany (financials),[DATA] PRMS create-read-update-delete 
474,data.Germany.LCB,Data access to country Germany (LCB),Dedicated group for LCB users  (restrict access to LCB nodetypes)
425,data.Germany.Other,Data access to country Germany (Other functions or light Economics/Finance users),This is for anyone that is not a member of one of the other groups.  Data.Country less Data.Country.Functions (Economics, or Finance or Planning, Portfolio, Reserves ....).  Also caters for "light" functional users
413,data.Germany.Planning,Data access to country Germany (full access),[DATA] PRMS full access
404,data.Germany.Portfolio,Data access to country Germany (Portfolio),
472,data.Germany.PRMS,Data access to country Germany (PRMS),Dedicated group for PRMS users  (restrict access to PRMS nodetypes)
408,data.Germany.Reserves,Data access to country Germany (Reserves),[DATA] PRMS create-read-update-delete 
407,data.Hungary,Data access to country Hungary,[DATA] PRMS read-update
399,data.Hungary.CAPDAT,Data access for selected PMs for loading PSE RS to CAPDAT,For nominated project managers who will load selected PSE results sets into CAPDAT
422,data.Hungary.Economics,Data access to country Hungary (economist),[DATA] PRMS create-read-update-delete 
415,data.Hungary.Finance,Data access to country Hungary (financials),[DATA] PRMS create-read-update-delete 
434,data.Hungary.LCB,Data access to country Hungary (LCB),Dedicated group for LCB users  (restrict access to LCB nodetypes)
398,data.Hungary.Other,Data access to country Hungary (Other functions or light Economics/Finance users),This is for anyone that is not a member of one of the other groups.  Data.Country less Data.Country.Functions (Economics, or Finance or Planning, Portfolio, Reserves ....).  Also caters for "light" functional users
400,data.Hungary.Planning,Data access to country Hungary (full access),[DATA] PRMS full access
397,data.Hungary.Portfolio,Data access to country Hungary (Portfolio),
453,data.Hungary.PRMS,Data access to country Hungary (PRMS),Dedicated group for PRMS users  (restrict access to PRMS nodetypes)
405,data.Hungary.Reserves,Data access to country Hungary (Reserves),[DATA] PRMS create-read-update-delete 
138,data.Kurdistan,Data access to country Kurdistan,[DATA] PRMS read-update
352,data.Kurdistan.CAPDAT,Data access for selected PMs for loading PSE RS to CAPDAT,For nominated project managers who will load selected PSE results sets into CAPDAT
140,data.Kurdistan.Economics,Data access to country Kurdistan (economist),[DATA] PRMS create-read-update-delete 
127,data.Kurdistan.Finance,Data access to country Kurdistan (financials),[DATA] PRMS create-read-update-delete 
430,data.Kurdistan.LCB,Data access to country Kurdistan (LCB),Dedicated group for LCB users  (restrict access to LCB nodetypes)
341,data.Kurdistan.Other,Data access to country Kurdistan (Other functions or light Economics/Finance users),This is for anyone that is not a member of one of the other groups.  Data.Country less Data.Country.Functions (Economics, or Finance or Planning, Portfolio, Reserves ....).  Also caters for "light" functional users
150,data.Kurdistan.Planning,Data access to country Kurdistan (full access),[DATA] PRMS full access
452,data.Kurdistan.PRMS,Data access to country Kurdistan (PRMS),Dedicated group for PRMS users  (restrict access to PRMS nodetypes)
211,data.Kurdistan.Reserves,Data access to country Kurdistan (Reserves),[DATA] PRMS create-read-update-delete 
63,data.Libya,Data access to country Libya,[DATA] PRMS read-update
332,data.Libya.CAPDAT,Data access for selected PMs for loading PSE RS to CAPDAT,For nominated project managers who will load selected PSE results sets into CAPDAT
94,data.Libya.Economics,Data access to country Libya (economist),[DATA] PRMS create-read-update-delete 
100,data.Libya.Finance,Data access to country Libya (financials),[DATA] PRMS create-read-update-delete 
477,data.Libya.LCB,Data access to country Libya (LCB),Dedicated group for LCB users  (restrict access to LCB nodetypes)
286,data.Libya.Other,Data access to country Libya (Other functions or light Economics/Finance users),This is for anyone that is not a member of one of the other groups.  Data.Country less Data.Country.Functions (Economics, or Finance or Planning, Portfolio, Reserves ....).  Also caters for "light" functional users
64,data.Libya.Planning,Data access to country Libya (full access),[DATA] PRMS full access
451,data.Libya.PRMS,Data access to country Libya (PRMS),Dedicated group for PRMS users  (restrict access to PRMS nodetypes)
215,data.Libya.Reserves,Data access to country Libya (Reserves),[DATA] PRMS create-read-update-delete 
169,data.Malaysia,Data access to country Malaysia,[DATA] PRMS read-update
293,data.Malaysia.CAPDAT,Data access for selected PMs for loading PSE RS to CAPDAT,For nominated project managers who will load selected PSE results sets into CAPDAT
174,data.Malaysia.Economics,Data access to country Malaysia (economist),[DATA] PRMS create-read-update-delete 
165,data.Malaysia.Finance,Data access to country Malaysia (financials),[DATA] PRMS create-read-update-delete 
443,data.Malaysia.LCB,Data access to country Malaysia (LCB),Dedicated group for LCB users  (restrict access to LCB nodetypes)
365,data.Malaysia.Other,Data access to country Malaysia (Other functions or light Economics/Finance users),This is for anyone that is not a member of one of the other groups.  Data.Country less Data.Country.Functions (Economics, or Finance or Planning, Portfolio, Reserves ....).  Also caters for "light" functional users
159,data.Malaysia.Planning,Data access to country Malaysia (full access),[DATA] PRMS full access
460,data.Malaysia.PRMS,Data access to country Malaysia (PRMS),Dedicated group for PRMS users  (restrict access to PRMS nodetypes)
213,data.Malaysia.Reserves,Data access to country Malaysia (Reserves),[DATA] PRMS create-read-update-delete 
158,data.Mexico,Data access to country Mexico,[DATA] PRMS read-update
335,data.Mexico.CAPDAT,Data access for selected PMs for loading PSE RS to CAPDAT,For nominated project managers who will load selected PSE results sets into CAPDAT
130,data.Mexico.Economics,Data access to country Mexico (economist),[DATA] PRMS create-read-update-delete 
128,data.Mexico.Finance,Data access to country Mexico (financials),[DATA] PRMS create-read-update-delete 
455,data.Mexico.LCB,Data access to country Mexico (LCB),Dedicated group for LCB users  (restrict access to LCB nodetypes)
343,data.Mexico.Other,Data access to country Mexico (Other functions or light Economics/Finance users),This is for anyone that is not a member of one of the other groups.  Data.Country less Data.Country.Functions (Economics, or Finance or Planning, Portfolio, Reserves ....).  Also caters for "light" functional users
145,data.Mexico.Planning,Data access to country Mexico (full access),[DATA] PRMS full access
470,data.Mexico.PRMS,Data access to country Mexico (PRMS),Dedicated group for PRMS users  (restrict access to PRMS nodetypes)
220,data.Mexico.Reserves,Data access to country Mexico (Reserves),[DATA] PRMS create-read-update-delete 
115,data.NewZealand,Data access to country NewZealand,[DATA] PRMS read-update
294,data.NewZealand.CAPDAT,Data access for selected PMs for loading PSE RS to CAPDAT,For nominated project managers who will load selected PSE results sets into CAPDAT
136,data.NewZealand.Economics,Data access to country NewZealand (economist),[DATA] PRMS create-read-update-delete 
120,data.NewZealand.Finance,Data access to country NewZealand (financials),[DATA] PRMS create-read-update-delete 
469,data.NewZealand.LCB,Data access to country NewZealand (LCB),Dedicated group for LCB users  (restrict access to LCB nodetypes)
287,data.NewZealand.Other,Data access to country NewZealand (Other functions or light Economics/Finance users),This is for anyone that is not a member of one of the other groups.  Data.Country less Data.Country.Functions (Economics, or Finance or Planning, Portfolio, Reserves ....).  Also caters for "light" functional users
153,data.NewZealand.Planning,Data access to country NewZealand (full access).  Dataflow Tool Support (country planners),[DATA] PRMS full access
468,data.NewZealand.PRMS,Data access to country NewZealand (PRMS),Dedicated group for PRMS users  (restrict access to PRMS nodetypes)
223,data.NewZealand.Reserves,Data access to country NewZealand (Reserves),[DATA] PRMS create-read-update-delete 
10,data.Norway,Data access to country Norway,[DATA] PRMS read-update
345,data.Norway.CAPDAT,Data access for selected PMs for loading PSE RS to CAPDAT,For nominated project managers who will load selected PSE results sets into CAPDAT
91,data.Norway.Economics,Data access to country Norway (economist),[DATA] PRMS create-read-update-delete 
98,data.Norway.Finance,Data access to country Norway (financials),[DATA] PRMS create-read-update-delete 
458,data.Norway.LCB,Data access to country Norway (LCB),Dedicated group for LCB users  (restrict access to LCB nodetypes)
295,data.Norway.Other,Data access to country Norway (Other functions or light Economics/Finance users),This is for anyone that is not a member of one of the other groups.  Data.Country less Data.Country.Functions (Economics, or Finance or Planning, Portfolio, Reserves ....).  Also caters for "light" Economics/Finance users
