displayprofile,profile,groups,Ptype,type,lic
profile.Portfolio.Light,profile.Portfolio.Light,temp.admin.readonly,[Profile],Template,
profile.Portfolio.Light,profile.Portfolio.Light,license.light,[Profile],License,
profile.Portfolio.Light,profile.Portfolio.Light,P2V.base,[Profile],General,
profile.Portfolio.Light,profile.Portfolio.Light,profile.Portfolio.Light,[Profile],PROFILE,
profile.Portfolio.Light,profile.Portfolio.Light,Reporting,[Profile],API,
profile.Portfolio.Light,profile.Portfolio.Light,temp.adjust.admin.readonly,[Profile],Template,
profile.Portfolio.Light,profile.Portfolio.Light,temp.adjust.eco.readonly,[Profile],Template,
profile.Portfolio.Light,profile.Portfolio.Light,temp.adjust.ecoresults.readonly,[Profile],Template,
profile.Portfolio.Light,profile.Portfolio.Light,temp.adjust.fin.readonly,[Profile],Template,
profile.Portfolio.Light,profile.Portfolio.Light,temp.adjust.input.readonly,[Profile],Template,
profile.Portfolio.Light,profile.Portfolio.Light,temp.economics.readonly,[Profile],Template,
profile.Portfolio.Light,profile.Portfolio.Light,temp.ecoresults.readonly,[Profile],Template,
profile.Portfolio.Light,profile.Portfolio.Light,temp.financials.readonly,[Profile],Template,
profile.Portfolio.Light,profile.Portfolio.Light,temp.input.readonly,[Profile],Template,
profile.Portfolio.Light,profile.Portfolio.Light,Portfolio,[Profile],Portfolio,
profile.Portfolio.Power,profile.Portfolio.Power,temp.admin.readonly,[Profile],Template,
profile.Portfolio.Power,profile.Portfolio.Power,license.light,[Profile],License,
profile.Portfolio.Power,profile.Portfolio.Power,P2V.base,[Profile],General,
profile.Portfolio.Power,profile.Portfolio.Power,profile.Portfolio.Power,[Profile],PROFILE,
profile.Portfolio.Power,profile.Portfolio.Power,Reporting,[Profile],API,
profile.Portfolio.Power,profile.Portfolio.Power,temp.adjust.admin.readonly,[Profile],Template,
profile.Portfolio.Power,profile.Portfolio.Power,temp.adjust.eco.readonly,[Profile],Template,
profile.Portfolio.Power,profile.Portfolio.Power,temp.adjust.ecoresults.readonly,[Profile],Template,
profile.Portfolio.Power,profile.Portfolio.Power,temp.adjust.fin.readonly,[Profile],Template,
profile.Portfolio.Power,profile.Portfolio.Power,temp.adjust.input.readonly,[Profile],Template,
profile.Portfolio.Power,profile.Portfolio.Power,temp.economics.readonly,[Profile],Template,
profile.Portfolio.Power,profile.Portfolio.Power,temp.ecoresults.readonly,[Profile],Template,
profile.Portfolio.Power,profile.Portfolio.Power,temp.financials.readonly,[Profile],Template,
profile.Portfolio.Power,profile.Portfolio.Power,temp.input.readonly,[Profile],Template,
profile.Portfolio.Power,profile.Portfolio.Power,Portfolio,[Profile],Portfolio,
profile.PP.Headoffice,profile.PP.Headoffice,temp.admin,[Profile],Template,
profile.PP.Headoffice,profile.PP.Headoffice,profile.PP.Headoffice,[Profile],PROFILE,
profile.PP.Headoffice,profile.PP.Headoffice,P2V.base,[Profile],General,
profile.PP.Headoffice,profile.PP.Headoffice,Reporting,[Profile],API,
profile.PP.Headoffice,profile.PP.Headoffice,DataFlow.key,[Profile],DataFlow,
profile.PP.Headoffice,profile.PP.Headoffice,Portfolio,[Profile],Portfolio,
