id,name,description,comments,isEveryoneWorkgroup,isAdministratorWorkgroup,users,allowedRoles,deniedRoles
235,bd.013.deny,Group of people NOT allowed to see this project data,Nereus,False,False,@{2=; 3=; 4=; 14=; 15=; 17=; 18=; 23=; 26=; 31=; 42=; 43=; 53=; 59=; 85=; 115=; 119=; 161=; 162=; 163=; 164=; 165=; 166=; 210=; 224=; 225=; 226=; 227=; 228=; 229=; 230=; 231=; 232=; 233=; 234=; 235=; 236=; 237=; 238=; 239=; 240=; 241=; 242=; 243=; 244=; 245=; 246=; 247=; 248=; 249=; 250=; 251=; 252=; 253=; 254=; 255=; 256=; 257=; 258=; 259=; 260=; 261=; 262=; 263=; 264=; 265=; 266=; 267=; 268=; 269=; 270=; 271=; 272=; 273=; 274=; 275=; 276=; 277=; 278=; 279=; 280=; 281=; 386=; 578=},,
248,bd.014.allow,Group of people allowed to see the specific project data,Kobza,False,False,@{5=; 7=; 20=; 201=},,
237,bd.014.deny,Group of people NOT allowed to see this project data,Kobza,False,False,@{2=; 3=; 4=; 14=; 15=; 17=; 18=; 23=; 26=; 31=; 42=; 43=; 53=; 59=; 85=; 115=; 119=; 126=; 161=; 162=; 163=; 164=; 165=; 166=; 210=; 224=; 225=; 226=; 227=; 228=; 229=; 230=; 231=; 232=; 233=; 234=; 235=; 236=; 237=; 238=; 239=; 240=; 241=; 242=; 243=; 244=; 245=; 246=; 247=; 248=; 249=; 250=; 251=; 252=; 253=; 254=; 255=; 256=; 257=; 258=; 259=; 260=; 261=; 262=; 263=; 264=; 265=; 266=; 267=; 268=; 269=; 270=; 271=; 272=; 273=; 274=; 275=; 276=; 277=; 278=; 279=; 280=; 281=; 386=; 410=; 578=},,
245,bd.015.allow,Group of people allowed to see the specific project data,not in use,False,False,@{5=; 7=; 20=; 201=},,
251,bd.015.deny,Group of people NOT allowed to see this project data,not in use,False,False,@{2=; 3=; 4=; 14=; 15=; 17=; 18=; 23=; 26=; 31=; 42=; 43=; 53=; 59=; 85=; 115=; 119=; 126=; 161=; 162=; 163=; 164=; 165=; 166=; 210=; 224=; 225=; 226=; 227=; 228=; 229=; 230=; 231=; 232=; 233=; 234=; 235=; 236=; 237=; 238=; 239=; 240=; 241=; 242=; 243=; 244=; 245=; 246=; 247=; 248=; 249=; 250=; 251=; 252=; 253=; 254=; 255=; 256=; 257=; 258=; 259=; 260=; 261=; 262=; 263=; 264=; 265=; 266=; 267=; 268=; 269=; 270=; 271=; 272=; 273=; 274=; 275=; 276=; 277=; 278=; 279=; 280=; 281=; 386=; 410=; 578=},,
246,bd.016.allow,Group of people allowed to see the specific project data,not in use,False,False,@{5=; 7=; 20=; 201=},,
241,bd.016.deny,Group of people NOT allowed to see this project data,not in use,False,False,@{2=; 3=; 4=; 14=; 15=; 17=; 18=; 23=; 26=; 31=; 42=; 43=; 53=; 59=; 85=; 115=; 119=; 126=; 161=; 162=; 163=; 164=; 165=; 166=; 210=; 224=; 225=; 226=; 227=; 228=; 229=; 230=; 231=; 232=; 233=; 234=; 235=; 236=; 237=; 238=; 239=; 240=; 241=; 242=; 243=; 244=; 245=; 246=; 247=; 248=; 249=; 250=; 251=; 252=; 253=; 254=; 255=; 256=; 257=; 258=; 259=; 260=; 261=; 262=; 263=; 264=; 265=; 266=; 267=; 268=; 269=; 270=; 271=; 272=; 273=; 274=; 275=; 276=; 277=; 278=; 279=; 280=; 281=; 386=; 410=; 578=},,
231,bd.017.allow,Group of people allowed to see the specific project data,not in use,False,False,@{5=; 7=; 20=; 201=},,
236,bd.017.deny,Group of people NOT allowed to see this project data,not in use,False,False,@{2=; 3=; 4=; 14=; 15=; 17=; 18=; 23=; 26=; 31=; 42=; 43=; 53=; 59=; 85=; 115=; 119=; 126=; 161=; 162=; 163=; 164=; 165=; 166=; 210=; 224=; 225=; 226=; 227=; 228=; 229=; 230=; 231=; 232=; 233=; 234=; 235=; 236=; 237=; 238=; 239=; 240=; 241=; 242=; 243=; 244=; 245=; 246=; 247=; 248=; 249=; 250=; 251=; 252=; 253=; 254=; 255=; 256=; 257=; 258=; 259=; 260=; 261=; 262=; 263=; 264=; 265=; 266=; 267=; 268=; 269=; 270=; 271=; 272=; 273=; 274=; 275=; 276=; 277=; 278=; 279=; 280=; 281=; 386=; 410=; 578=},,
244,bd.018.allow,Group of people allowed to see the specific project data,not in use,False,False,@{5=; 7=; 20=; 201=},,
